"Reference","Qty","Manufacturer","Part","Description","Value","LCSC"
"C1","1","AVX","TAJA106K016RNJ","10uF 16V 3Ω@100kHz ±10% CASE-A-3216-18(mm) Tantalum Capacitors ROHS","10uF","C7171"
"C2,C3,C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C18,C21,C22,C25,C26,C27,C28,C29,C30,C31,C35,C38,C39,C40,C41,C42,C43","29","Samsung Electro-Mechanics","CL05A105KA5NQNC","25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1uF","C52923"
"C5,C15","2","AVX","TAJB107K006RNJ","100uF 6.3V 1.7Ω@100kHz ±10% CASE-B-3528-21(mm) Tantalum Capacitors ROHS","100uF","C16133"
"C19,C20","2","FH(Guangdong Fenghua Advanced Tech)","0402CG270J500NT","50V 27pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","27pF","C1557"
"C36,C37","2","FH(Guangdong Fenghua Advanced Tech)","0402CG1R5C500NT","50V 1.5pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1.5pF","C1552"
"D1","1","hongjiacheng","MMSZ5227B","Independent Type 3.42V~3.78V 500mW 3.6V SOD-123 Zener Diodes ROHS","MMSZ5227B","C22395553"
"D2,D10,D11","3","Foshan NationStar Optoelectronics","NCD0805R1","25mA Colorless transparent lens 67mcd~195mcd -30°C~+85°C 615nm~630nm Individual diode Red 130° 65mW 1.6V~2.6V 0805 LED Indication - Discrete ROHS","Red","C84256"
"D4,D5","2","hongjiacheng","MM1W5V6","Independent Type 5.32V~5.92V 1W 5.6V SOD-123 Zener Diodes ROHS","MM1W5V6","C22435086"
"D6,D7","2","MDD（Microdiode Electronics）","SS54","40V Independent Type 550mV@5A 5A SMA(DO-214AC) Schottky Diodes ROHS","SS54","C22452"
"D8,D9,D12","3","Hubei KENTO Elec","KT-0805G","Emerald 0805 LED Indication - Discrete ROHS","Green","C2297"
"D13","1","hongjiacheng","H3V3U10B","5A 25V 125W 9V Bidirectional 3.3V DFN1006-2L ESD and Surge Protection (TVS/ESD) ROHS","H3V3U10B","C20615782"
"D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D208,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318,D319,D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344","154","XINGLIGHT","XL-1615RGBC-WS2812B-S","1615 RGB LEDs(Built-in IC) ROHS","XL-1615RGBC-WS2812B-S","C41413180"
"F1","1","BORN","SMD1206-200/06N","6V 2A 100A 4A 1206 Resettable Fuses ROHS","Polyfuse, 2A","C6165195"
"L1,L3","2","Murata Electronics","LQG15HS2N7S02D","800mA 2.7nH 120mΩ 0402 Inductors (SMD) ROHS","2.7nH","C77108"
"L5","1","Sunlord","SDCL1005C15NJTDF","8@100MHz ±5% 0402 Inductors (SMD)","15nH,300mA","C27143"
"Q1","1","hongjiacheng","HL3415A","20V 5.6A 42mΩ@4.5V,5A 1.3W 620mV@250uA 1 Piece P-Channel SOT-23 MOSFETs ROHS","HL3415A","C28646270"
"Q2","1","hongjiacheng","MMBT3904","40V 200mW 100@10mA,1.0V 200mA NPN SOT-23 Bipolar (BJT) ROHS","MMBT3904","C7420353"
"R1,R2,R3,R4,R8,R12,R17,R21","8","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","10kΩ","C25744"
"R7,R18","2","UNI-ROYAL(Uniroyal Elec)","0402WGF5100TCE","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 510Ω 0402 Chip Resistor - Surface Mount ROHS","510Ω","C25123"
"R9,R16,R22,R23,R24,R25","6","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS","100kΩ","C25741"
"R10,R15","2","UNI-ROYAL(Uniroyal Elec)","0402WGF1000TCE","62.5mW Thick Film Resistors 50V ±1% ±200ppm/°C 100Ω 0402 Chip Resistor - Surface Mount ROHS","100Ω","C25076"
"R13,R14,R19,R20","4","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS","5.1kΩ","C25905"
"S1,S2,S3","3","XKB Connectivity","TS-1187A-B-A-B","None Without 50mA 5.1mm 100000 Times 160gf 12V 5.1mm 1.5mm Round Button Standing paste SPST SMD Tactile Switches ROHS","Tactile Button, 160gf","C318884"
"U1","1","Torex Semicon","XC6206P332MR-G","200mA Fixed 3.3V Positive electrode 6V SOT-23-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","XC6206P332MR","C5446"
"U2","1","Espressif Systems","ESP32-C3FH4","RF Module, ESP32 SoC, RISC-V, WiFi 802.11b/n/g, Bluetooth LE 5, QFN32","ESP32-C3FH4","C2858491"
"U3","1","Texas Instruments","SN74LVC4245APWR","2.7V~3.6V 1 8 4.5V~5.5V TSSOP-24 Translators, Level Shifters ROHS","SN74LVC4245APWR","C7859"
"U4,U5","2","DEALON","USB-TYPE-C-019","3A 1 Horizontal attachment 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS","Connector, USB-TYPE-C-16P","C2927039"
"X1","1","YXC Crystal Oscillators","X322540MPB4SI","40MHz Surface Mount Crystal 15pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS","40MHz, 15pF","C9010"
